entity_id,acn,abn,entity_kind,created_at,arbn
3856,654662638,,company,2026-08-18 03:38:17.304061+00,
3857,125301206,,company,2026-08-18 03:38:17.304061+00,
3858,119200592,,company,2026-08-18 03:38:17.304061+00,
3859,080699065,,company,2026-08-18 03:38:17.304061+00,
3860,,,other,2026-08-18 03:38:17.304061+00,
3861,009220053,,company,2026-08-18 03:38:17.304061+00,
3862,685756209,,company,2026-08-18 03:38:17.304061+00,
3863,609262937,,company,2026-08-18 03:38:17.304061+00,
3864,650673500,,company,2026-08-18 03:38:17.304061+00,
3865,636569634,,company,2026-08-18 03:38:17.304061+00,
3866,165160841,,company,2026-08-18 03:38:17.304061+00,
3867,118913232,,company,2026-08-18 03:38:17.304061+00,
3868,604368443,,company,2026-08-18 03:38:17.304061+00,
3869,000000715,,company,2026-08-18 03:38:17.304061+00,
3870,140164496,,company,2026-08-18 03:38:17.304061+00,
3871,650477286,,company,2026-08-18 03:38:17.304061+00,
3872,651349638,,company,2026-08-18 03:38:17.304061+00,
3873,004268679,,company,2026-08-18 03:38:17.304061+00,
3874,122892719,,company,2026-08-18 03:38:17.304061+00,
3875,085806284,,company,2026-08-18 03:38:17.304061+00,
3876,009448980,,company,2026-08-18 03:38:17.304061+00,
3877,073914191,,company,2026-08-18 03:38:17.304061+00,
3878,156377141,,company,2026-08-18 03:38:17.304061+00,
3879,064089318,,company,2026-08-18 03:38:17.304061+00,
3880,648988783,,company,2026-08-18 03:38:17.304061+00,
3881,056482403,,company,2026-08-18 03:38:17.304061+00,
3882,052179932,,company,2026-08-18 03:38:17.304061+00,
3883,,,foreign,2026-08-18 03:38:17.304061+00,641288155
3884,116221740,,company,2026-08-18 03:38:17.304061+00,
3885,127131604,,company,2026-08-18 03:38:17.304061+00,
3886,,,foreign,2026-08-18 03:38:17.304061+00,677960235
3887,131715645,,company,2026-08-18 03:38:17.304061+00,
3888,645960550,,company,2026-08-18 03:38:17.304061+00,
3889,635470843,,company,2026-08-18 03:38:17.304061+00,
3890,108096251,,company,2026-08-18 03:38:17.304061+00,
3891,617821771,,company,2026-08-18 03:38:17.304061+00,
3892,123993233,,company,2026-08-18 03:38:17.304061+00,
3893,009063834,,company,2026-08-18 03:38:17.304061+00,
3894,665921273,,company,2026-08-18 03:38:17.304061+00,
3895,009260315,,company,2026-08-18 03:38:17.304061+00,
3896,114198471,,company,2026-08-18 03:38:17.304061+00,
3897,,,foreign,2026-08-18 03:38:17.304061+00,695488843
3898,624005741,,company,2026-08-18 03:38:17.304061+00,
3899,126540547,,company,2026-08-18 03:38:17.304061+00,
3900,130933309,,company,2026-08-18 03:38:17.304061+00,
3901,,,foreign,2026-08-18 03:38:17.304061+00,619213437
3902,078510988,,company,2026-08-18 03:38:17.304061+00,
3903,146335622,,company,2026-08-18 03:38:17.304061+00,
3904,147133364,,company,2026-08-18 03:38:17.304061+00,
3905,633925505,,company,2026-08-18 03:38:17.304061+00,
3906,641565139,,company,2026-08-18 03:38:17.304061+00,
3907,153199912,,company,2026-08-18 03:38:17.304061+00,
3908,008694817,,company,2026-08-18 03:38:17.304061+00,
3909,652901703,,company,2026-08-18 03:38:17.304061+00,
3910,087651849,,company,2026-08-18 03:38:17.304061+00,
3911,009570030,,company,2026-08-18 03:38:17.304061+00,
3912,128533693,,company,2026-08-18 03:38:17.304061+00,
3913,647124641,,company,2026-08-18 03:38:17.304061+00,
3914,620896282,,company,2026-08-18 03:38:17.304061+00,
3915,150714739,,company,2026-08-18 03:38:17.304061+00,
3916,010568804,,company,2026-08-18 03:38:17.304061+00,
3917,120646924,,company,2026-08-18 03:38:17.304061+00,
3918,,,foreign,2026-08-18 03:38:17.304061+00,143211867
3919,089221634,,company,2026-08-18 03:38:17.304061+00,
3920,119611559,,company,2026-08-18 03:38:17.304061+00,
3921,160017390,,company,2026-08-18 03:38:17.304061+00,
3922,142051223,,company,2026-08-18 03:38:17.304061+00,
3923,008108218,,company,2026-08-18 03:38:17.304061+00,
3924,068049178,,company,2026-08-18 03:38:17.304061+00,
3925,009264699,,company,2026-08-18 03:38:17.304061+00,
3926,164521395,,company,2026-08-18 03:38:17.304061+00,
3927,,,foreign,2026-08-18 03:38:17.304061+00,141335686
3928,083194763,,company,2026-08-18 03:38:17.304061+00,
3929,,,foreign,2026-08-18 03:38:17.304061+00,649704656
3930,008358503,,company,2026-08-18 03:38:17.304061+00,
3931,633442618,,company,2026-08-18 03:38:17.304061+00,
3932,130148560,,company,2026-08-18 03:38:17.304061+00,
3933,110439686,,company,2026-08-18 03:38:17.304061+00,
3934,,,foreign,2026-08-18 03:38:17.304061+00,619060552
3935,071735950,,company,2026-08-18 03:38:17.304061+00,
3936,614854045,,company,2026-08-18 03:38:17.304061+00,
3937,683066613,,company,2026-08-18 03:38:17.304061+00,
3938,652352228,,company,2026-08-18 03:38:17.304061+00,
