entity_id,listed_from,listed_to,delist_reason,source_doc_id,source_load_id
4494,2017-06-09,,,,4
4495,2020-12-01,,,,4
4496,2001-05-11,,,,4
4497,2005-12-14,,,,4
4498,1981-06-30,,,,4
4499,2015-12-02,,,,4
4500,2024-01-15,,,,4
4501,2000-08-08,,,,4
4502,1987-01-14,,,,4
4503,1987-04-02,,,,4
4504,2001-06-07,,,,4
4505,2017-06-22,,,,4
4506,2019-12-23,,,,4
4507,2021-04-14,,,,4
4508,2020-05-25,,,,4
4509,2006-07-31,,,,4
4510,2018-10-17,,,,4
4511,1986-07-17,,,,4
4512,1991-02-18,,,,4
4513,2015-10-21,,,,4
4514,2015-11-26,,,,4
4515,1993-03-11,,,,4
4516,2004-08-10,,,,4
4517,2025-06-25,,,,4
4518,2010-08-30,,,,4
4519,2022-04-07,,,,4
4520,2015-12-16,,,,4
4521,1997-01-16,,,,4
4522,2002-01-17,,,,4
4523,1991-04-18,,,,4
4524,2016-11-21,,,,4
4525,2021-04-13,,,,4
4526,2023-06-30,,,,4
4527,1962-06-30,,,,4
4528,2002-07-04,,,,4
4529,1994-03-03,,,,4
4530,1999-04-30,,,,4
4531,1987-09-24,,,,4
4532,2005-12-14,,,,4
4533,2021-12-22,,,,4
4534,1988-06-23,,,,4
4535,2019-08-30,,,,4
4536,1993-11-24,,,,4
4537,2004-07-01,,,,4
4538,2021-07-13,,,,4
4539,2011-04-15,,,,4
4540,2016-11-07,,,,4
4541,2007-12-19,,,,4
4542,2005-04-21,,,,4
4543,2003-11-18,,,,4
4544,2005-04-21,,,,4
4545,2011-07-26,,,,4
4546,1971-07-28,,,,4
4547,2007-10-24,,,,4
4548,2021-12-17,,,,4
4549,2014-11-19,,,,4
4550,2006-11-29,,,,4
4551,2018-04-16,,,,4
4552,2008-06-12,,,,4
4553,2000-11-03,,,,4
4554,2000-12-13,,,,4
4555,2017-03-30,,,,4
4556,2021-10-21,,,,4
4557,1999-10-22,,,,4
4558,2004-03-19,,,,4
4559,2007-04-03,,,,4
4560,2010-02-15,,,,4
4561,2012-01-19,,,,4
4562,2019-07-05,,,,4
4563,1999-12-10,,,,4
4564,2007-12-18,,,,4
4565,2000-09-12,,,,4
4566,2008-01-30,,,,4
4567,2012-10-09,,,,4
4568,2018-01-29,,,,4
4569,2003-10-23,,,,4
4570,2000-12-08,,,,4
4571,2021-11-01,,,,4
4572,1995-02-13,,,,4
4573,2001-10-15,,,,4
4574,1972-06-14,,,,4
4575,2002-07-11,,,,4
4576,2018-04-18,,,,4
4577,2021-05-14,,,,4
4578,2002-09-12,,,,4
4579,2003-11-12,,,,4
4580,1986-12-17,,,,4
4581,2021-11-17,,,,4
4582,2007-11-29,,,,4
4583,2026-05-07,,,,4
4584,2004-06-08,,,,4
